BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food Type 1,Food Type 2,Food Type 3
2 Go,397 Dumbarton Road,Glasgow,G11 6BE,-4.308613,55.870617,,,,,
200 St Vincent Street,200 St Vincent Street,Glasgow,G2 5SG,-4.260957,55.86229,,,,,
279 Cafe Bistro,279 Dumbarton Road,Glasgow,G11 6AB,-4.303939,55.870516,,,,,
32nd Signal Regiment (v),21 Jardine Street,Glasgow,G20 6JU,-4.277246,55.877088,,,,,
916 - Diner,916 Sauchiehall Street,Glasgow,G3 7TF,-4.284479,55.865774,,,,,
Abercromby Cafe,168 Abercromby Street,Glasgow,G40 2RZ,-4.229148,55.852688,,,,,
A-Cakes,39 Milnbank Street,Glasgow,G31 3AQ,-4.221675,55.864803,,,,,
Ad Lib,33 Ingram Street,Glasgow,G1 1HA,-4.242358,55.859008,,,,,
Agra Restaurant,995 Crow Road,Glasgow,G13 1JP,-4.32204,55.893903,,,,,
AJ's Sandwich Shop,14 Tollcross Road,Glasgow,G31 4XD,-4.19669,55.850836,,,,,
Akbars Balti Restaurant,573 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048,,,,,
Alba Cafe,481 Great Western Road,Glasgow,G12 8HL,-4.282144,55.875281,,,,,
Alba Catering Ltd,2 Haghill Road,Glasgow,G31 3SR,-4.202495,55.858569,,,,,
Albacore,200 Carlisle Street,Glasgow,,-4.242509842,55.85779953,,,,,
Alberto's,506 Alexandra Parade,Glasgow,G31 3BQ,-4.218008,55.863548,,,,,
Alishan Tandoori,250 Battlefield Road,Glasgow,G42 9HU,-4.262139,55.824889,,,,,
All In One,12 Marne Street,Glasgow,G31 2TD,-4.212686,55.8627,,,,,
Alla Turca Restuarant,192 Pitt Street,Glasgow,G2 4DY,-4.26452,55.865289,,,,,
Al's Diner,70 Cathedral Street,Glasgow,G4 0RN,,,,,,,
AM PM,16 Killermont Street,Glasgow,G2 3NW,-4.25203,55.865428,,,,,
Amalfi Pizzeria,148 West Nile Street,Glasgow,G1 2RQ,-4.253893,55.863929,,,,,
Amarone,4 Nelson Mandela Place,Glasgow,,-4.2535556,55.86203936,,,,,
Amber Regent,50 West Regent Street,Glasgow,G2 2RA,-4.256413,55.86329,,,,,
Amber Restaurant,132 Byres Road,Glasgow,G12 8TD,-4.295156,55.873646,,,,,
Amber's Cafe,18 Balmore Road,Glasgow,G22 6RN,-4.255088,55.884273,,,,,
Amore Ristorante,30 Ingram Street,Glasgow,G1 1EZ,-4.242543,55.859445,,,,,
Amros Tandoori,1228 Royston Road,Glasgow,G33 1EX,-4.193152,55.878212,,,,,
An Clachan Cafe Ltd,5 La Belle Place,Glasgow,G3 7LH,-4.27954,55.866593,,,,,
Anarkali Restaurant,531 Victoria Road,Glasgow,G42 8BH,-4.265291,55.83407,,,,,
Anatolia,140 St Vincent Street,Glasgow,G2 5LA,-4.25852,55.861876,,,,,
Andell's Restauarnt And Tearoom,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,,,,,
Anne's Snack Bar,183 Fordneuk Street,Glasgow,G40 3SA,-4.218836,55.849486,,,,,
Another Piece,387 Great Western Road,Glasgow,G4 9HY,-4.277598,55.873819,,,,,
Anti Pasti,305 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326,,,,,
Aramark,200 Glentanar Road,Glasgow,G22 7XS,-4.259779,55.895646,,,,,
Arisaig,71 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573,,,,,
Aroma,5 Cadogan Street,Glasgow,G2 6QE,-4.260169,55.859446,,,,,
Arta,13 Walls Street,Glasgow,G1 1PA,-4.24317,55.857852,,,,,
Artisan Roast,15 Gibson Street,Glasgow,G12 8NU,-4.282448,55.8723,,,,,
Arty Tarts,3 McLaren Crescent,Glasgow,G20 0LD,-4.285638,55.895285,,,,,
Ashoka Ashton Lane,19 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,,,,,
Ashoka At The Quay,3 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,,,,,
Ashoka South Side,268 Clarkston Road,Glasgow,G44 3EA,-4.269606,55.812187,,,,,
Ashoka West End,1284 Argyle Street,Glasgow,G3 8AB,-4.290045,55.866929,,,,,
Asia Style,185 St Georges Road,Glasgow,G3 6JD,-4.269402,55.869792,,,,,
Asian Gourmet,17 West Princes Street,Glasgow,G4 9BS,-4.270026,55.870077,,,,,
Ask Italian,3 Port Dundas Place,Glasgow,G2 3LD,-4.253253,55.865298,,,,,
Assams,57 West Regent Street,Glasgow,G2 2AE,-4.256581,55.862882,,,,,
Assissi House,41 Easterhill Street,Glasgow,,-4.17422278,55.84143226,,,,,
Athena Greek Taverna,1116 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,,,,,
Athena Greek Taverna,99 Hope Street,Glasgow,G2 6LL,-4.259448,55.86079,,,,,
Atrium,121 University Avenue,Glasgow,G12 8SP,-4.293732,55.874158,,,,,
Atrium Coffee House,58 Cresswell Street,Glasgow,G12 8AP,-4.291748,55.876576,,,,,
Aubergine,356 Victoria Road,Glasgow,G42 8YW,-4.264837,55.837512,,,,,
Aulds,55 St Enoch Square,Glasgow,,-4.25558113,55.85737272,,,,,
Auntie Anne's,763 Barrhead Road,Glasgow,,,,,,,,
Auntie M's,2 Clouston Street,Glasgow,G20 8QS,-4.2847,55.880698,,,,,
Avenue G Cafe,291 Byres Road,Glasgow,G12 8TL,-4.293342,55.875953,,,,,
Azure (Hospitality),150 Edmiston Drive,Glasgow,G51 2XD,-4.308669,55.852452,,,,,
Azzurro,91 Cambridge Street,Glasgow,G3 6RU,-4.259871,55.866965,,,,,
Babu Bombay Street Kitchen,186 West Regent Street,Glasgow,G2 4RU,-4.261774,55.863964,,,,,
Babylon Cafe,9 Clyde Place,Glasgow,G5 8AA,,,,,,,
Back 2 Angie's,330 Duke Street,Glasgow,G31 1QZ,-4.222143,55.858171,,,,,
Baguette Express,297 Provan Walk,Glasgow,G34 9DY,-4.138074,55.871218,,,,,
Ballito Bay,16 St Andrews Street,Glasgow,G1 5PD,-4.24419,55.855308,,,,,
Bank Street Bar And Kitchen,54 Bank Street,Glasgow,G12 8LZ,-4.284265,55.8733,,,,,
Bar Soba,11 Mitchell Lane,Glasgow,G1 3LX,-4.255473,55.859487,,,,,
Bar Soba Byres Road,122 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085,,,,,
Bar Ten,10 Mitchell Lane,Glasgow,G1 3NU,-4.255247,55.859995,,,,,
Barbarossa Restaurant,3 Clarkston Road,Glasgow,G44 4EF,-4.261659,55.817726,,,,,
Barca Tapas And Cava Bar,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,,,,,
Barolo Grill,94 Mitchell Street,Glasgow,G1 3NQ,-4.255247,55.859995,,,,,
Battlefield Rest,55 Battlefield Road,Glasgow,G42 9JL,-4.266264,55.827186,,,,,
Bean Machine,32 Albion Street,Glasgow,G1 1LH,-4.244412,55.857775,,,,,
Beanscene,1365 Argyle Street,Glasgow,G3 8AF,-4.29177,55.867723,,,,,
Beanscene,19 Skirving Street,Glasgow,G41 3AB,-4.280532,55.829798,,,,,
Beanscene,110 Battlefield Road,Glasgow,G42 9JT,-4.265146,55.826083,,,,,
Beanscene Ltd,40 Woodlands Road,Glasgow,G3 6UR,-4.272108,55.868241,,,,,
Beechwood Tavern,164 Ardmay Crescent,Glasgow,G44 4PP,-4.247809,55.823354,,,,,
Bella Fresca,2093 Paisley Road West,Glasgow,G52 3JH,-4.353494,55.845706,,,,,
Bella Italia,96 Hope Street,Glasgow,G2 6PH,-4.258318,55.860873,,,,,
Bella Napoli,85 Kilmarnock Road,Glasgow,G41 3YR,-4.282917,55.828531,,,,,
Bella Vita,597 Mosspark Boulevard,Glasgow,G52 1SB,-4.333458,55.845127,,,,,
Bellgrove Hotel,607 Gallowgate,Glasgow,G40 2PG,-4.222186,55.854997,,,,,
Bensons Cafe,1300 Duke Street,Glasgow,G31 4EB,-4.199841,55.853449,,,,,
"Benson's Pantry (Inshops Unit 6, 7, 8)",1300 Duke Street,Glasgow,G31 4EB,-4.199841,55.853449,,,,,
Best Chippy,55 Mount Annan Drive,Glasgow,G44 4RX,-4.25474,55.823937,,,,,
Bibi's Cantina,599 Dumbarton Road,Glasgow,G11 6HY,-4.317637,55.870501,,,,,
Biggar's Cafe,273 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326,,,,,
Bikram Yoga Southside (and Juice Bar),32 Eastwood Avenue,Glasgow,G41 3NS,-4.286243,55.827805,,,,,
Biscuit,17 Skirving Street,Glasgow,G41 3AB,-4.280532,55.829798,,,,,
Bites 'N' Pieces,99 Rockfield Road,Glasgow,G21 3DY,-4.203947,55.889549,,,,,
Black Sheep Bistro,10 Clarendon Street,Glasgow,G20 7QD,-4.268495,55.872603,,,,,
Blackhill Bowling Club,20 Tay Crescent,Glasgow,G33 2BQ,-4.189009,55.871356,,,,,
Bluebird Cafe,510 Cathcart Road,Glasgow,G42 7BX,-4.25734,55.837119,,,,,
Bombay Blues,41 Hope Street,Glasgow,G2 6AE,-4.259536,55.859557,,,,,
Bonbons And Buttercream,7 Dryburgh Gardens,Glasgow,G20 6BT,-4.277453,55.87899,,,,,
Boyd Catering (Brookfield Construction Site),1345 Govan Road,Glasgow,G51 4TF,-4.337594,55.863985,,,,,
Boyd's,2121 Paisley Road West,Glasgow,G52 3JL,-4.35467,55.845612,,,,,
Bradfords,245 Sauchiehall Street,Glasgow,G2 3EZ,-4.262562,55.865145,,,,,
Brambles Catering,188 Riverford Road,Glasgow,G43 2DE,-4.288925,55.821005,,,,,
Bread + Butter,74 Buchanan Street,Glasgow,G1 3HA,-4.25397,55.860018,,,,,
Bread Meats Bread,104 St Vincent Street,Glasgow,G2 5UB,-4.255533,55.861625,,,,,
Brel,37 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,,,,,
Brian Maule At Chardon D'Or,172 West Regent Street,Glasgow,,-4.26149352,55.86369468,,,,,
Broad Street Cafe,60 Broad Street,Glasgow,G40 2QN,-4.223796,55.850457,,,,,
Brooklands Café,1632 Great Western Road,Glasgow,G13 1HH,-4.324127,55.890026,,,,,
Broomton Community Shop,42 Broomton Road,Glasgow,G21 3RU,-4.203822,55.89693,,,,,
Brown's Bar and Brasserie,1 George Square,Glasgow,G2 1DY,-4.250847,55.860453,,,,,
Brutti Compadres,35 Virginia Street,Glasgow,G1 1TN,-4.250545,55.858544,,,,,
Buchanan Lodge,163 Wardie Road,Glasgow,G34 9EG,-4.120015,55.867172,,,,,
Bull Leader,55 Union Street,Glasgow,G1 3RB,-4.257325,55.859184,,,,,
Buon Giorno,1012 Pollokshaws Road,Glasgow,G41 2HG,-4.278617,55.832008,,,,,
Burger King,102 Union Street,Glasgow,G1 3QW,-4.256555,55.859962,,,,,
Burger King,6 Allerdyce Court,Glasgow,G15 6SA,-4.376618,55.902864,,,,,
Burger King,1 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,,,,,
Burger King,55 St Enoch Square,Glasgow,G1 4BW,-4.254458,55.857412,,,,,
Burger Meats Bun,48 West Regent Street,Glasgow,G2 2RA,-4.256413,55.86329,,,,,
Burrell Collection (The Burrell Cafe/Restaurant),2060 Pollokshaws Road,Glasgow,G43 1AT,-4.303363,55.823261,,,,,
Buzzy Wares,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,,,,,
Byblos Cafe,6 Park Road,Glasgow,G4 9JG,-4.278703,55.873853,,,,,
Cafe,220 High Street,Glasgow,G4 0QW,-4.239688,55.860657,,,,,
Cafe 13,794 Govan Road,Glasgow,G51 2YL,-4.310615,55.862895,,,,,
Cafe Absolute,161 Byres Road,Glasgow,G12 8TS,-4.295756,55.873787,,,,,
Cafe Amalfi,19 Carmunnock Road,Glasgow,G44 4TZ,-4.256752,55.825042,,,,,
Cafe Andaluz,15 St Vincent Place,Glasgow,G1 2DW,-4.252437,55.860864,,,,,
Cafe Andaluz,2 Cresswell Lane,Glasgow,G12 8AA,-4.292252,55.875911,,,,,
Cafe Asia,1359 Barrhead Road,Glasgow,G53 7DA,-4.362746,55.821792,,,,,
Cafe Avanti,26 Merkland Street,Glasgow,G11 6DB,-4.30912,55.870275,,,,,
Cafe B Encore At Blair Court,100 Borron Street,Glasgow,G4 9XG,-4.24913,55.87526,,,,,
Cafe Bella Turca,563 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048,,,,,
Cafe Bungalow,1363 Dumbarton Road,Glasgow,G14 9UZ,-4.343177,55.875742,,,,,
Cafe Castello Coffee House,61 Old Castle Road,Glasgow,G44 5TG,-4.257964,55.816491,,,,,
Cafe Cherubini,360 Great Western Road,Glasgow,G4 9HT,-4.276352,55.873833,,,,,
Cafe Circa,322 Crow Road,Glasgow,G11 7HS,-4.321842,55.877747,,,,,
Cafe Cosmo,12 Rose Street,Glasgow,G3 6QZ,-4.260859,55.865545,,,,,
Cafe Di Sorrento,470 Crow Road,Glasgow,G11 7DR,-4.325861,55.88132,,,,,
Cafe Euro,549 Duke Street,Glasgow,G31 1DL,-4.217936,55.858642,,,,,
Cafe Express,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,,,,,
Cafe Fornette,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,,,,,
Cafe Gandolfi,64 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573,,,,,
Cafe Go Go,5 Cresswell Lane,Glasgow,,,,,,,,
Cafe Hula,321 Hope Street,Glasgow,G2 3PT,-4.256986,55.866281,,,,,
Cafe In Victorian Market,233 London Road,Glasgow,G40 1PE,-4.237417,55.853948,,,,,
Cafe India,29 Albion Street,Glasgow,G1 1LH,-4.244412,55.857775,,,,,
Cafe JJ,180 Dumbarton Road,Glasgow,G11 6XE,-4.29999,55.870769,,,,,
Cafe Katia,100 Borron Street,Glasgow,,-4.24894571,55.87401512,,,,,
Cafe La Padella,124 Woodlands Road,Glasgow,G3 6HB,-4.273911,55.869277,,,,,
Cafe Lavita,202 Gallowgate,Glasgow,G1 5DS,-4.238092,55.855419,,,,,
Cafe Lovestruck,751 Pollokshaws Road,Glasgow,G41 2AX,-4.271722,55.835345,,,,,
Cafe Ludovic,11 Lochleven Road,Glasgow,G42 9JU,-4.265209,55.825507,,,,,
Cafe Massimo,1009 Cathcart Road,Glasgow,G42 9XJ,-4.259091,55.827659,,,,,
Cafe Melegrano,105 Albert Drive,Glasgow,G41 2SU,-4.270098,55.841459,,,,,
Cafe Momentum (Scottish Enterprise),50 Waterloo Street,Glasgow,G2 6HQ,-4.261071,55.86067,,,,,
Cafe Noor,49 Kilmarnock Road,Glasgow,G41 3YN,-4.281972,55.829295,,,,,
Cafe Nye,20 India Street,Glasgow,,,,,,,,
Cafe Octavia,40 Edington Street,Glasgow,G4 9RD,-4.259395,55.872537,,,,,
Cafe Olive,513 Amulree Street,Glasgow,G32 7TW,-4.165765,55.842891,,,,,
Cafe Oliver,430 Dumbarton Road,Glasgow,G11 6SB,-4.310294,55.870936,,,,,
Cafe Osa,217 Hope Street,Glasgow,G2 2UW,-4.257905,55.863667,,,,,
Cafe Pearce,860 Govan Road,Glasgow,G51 3UU,-4.312603,55.863523,,,,,
Cafe Phoenix Ltd,262 Woodlands Road,Glasgow,G3 6NE,-4.277611,55.871869,,,,,
Cafe Ritazza,79 Gordon Street,Glasgow,G1 3SQ,-4.258211,55.859302,,,,,
Cafe Ritazza,1 Scottish Exhibition Centre,Glasgow,G3 8YW,-4.288154,55.86087,,,,,
Cafe Roots,63 North Frederick Street,Glasgow,G1 2BS,-4.248413,55.862025,,,,,
Cafe Roots (City Of Glasgow College),230 Cathedral Street,Glasgow,G1 2TG,-4.246071,55.863255,,,,,
Cafe Rouge,20 Royal Exchange Square,Glasgow,G1 3AB,-4.252561,55.86052,,,,,
Cafe Salma,523 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048,,,,,
Cafe Select,220 Buchanan Street,Glasgow,,,,,,,,
Cafe Serena,330 Maxwell Road,Glasgow,G41 1PJ,-4.273486,55.844506,,,,,
Cafe Solo,100 Minard Road,Glasgow,G41 2DL,-4.282445,55.833825,,,,,
Cafe Source Too,32 Hughenden Road,Glasgow,G12 9XP,-4.305399,55.881939,,,,,
Cafe Taste,1515 Dumbarton Road,Glasgow,G14 9XQ,-4.34962,55.878388,,,,,
Cafe Tiki,17 Gullane Street,Glasgow,G11 6AN,-4.306866,55.870551,,,,,
Cafe W,176 Argyle Street,Glasgow,G2 8BT,-4.256303,55.858645,,,,,
Cafe Wander,1032 Argyle Street,Glasgow,G3 8LX,-4.282007,55.864229,,,,,
Cafe Wander,110 West George Street,Glasgow,G2 1PS,-4.256015,55.862488,,,,,
Cafe Zecchino,331 Cumbernauld Road,Glasgow,G31 3LP,-4.206015,55.862874,,,,,
Cafe Zeus,98 Bath Street,Glasgow,G2 2EN,-4.258163,55.864264,,,,,
Cafecart,1036 Cathcart Road,Glasgow,G42 9XW,-4.258258,55.826524,,,,,
Cafezique,66 Hyndland Street,Glasgow,G11 5PT,-4.301732,55.87293,,,,,
Caffe Coupa,115 Clarkston Road,Glasgow,G44 3BL,-4.263342,55.815906,,,,,
Caffe Italiano,220 Buchanan Street,Glasgow,,-4.252946,55.863781,,,,,
Caffe Ritazza,100 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982,,,,,
Cail Bruich,725 Great Western Road,Glasgow,G12 8QX,-4.289157,55.87738,,,,,
Cailin's Sushi,1136 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,,,,,
Cakejoy,15 Lumsden Street,Glasgow,G3 8RQ,-4.292175,55.866727,,,,,
Cakes By Alison,2009 Paisley Road West,Glasgow,G52 3TA,-4.350899,55.845594,,,,,
Caledonia House,140 Fifty Pitches Road,Glasgow,G51 4ED,-4.322815,55.862549,,,,,
Calfe Olive Tree,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,,,,,
Canton Chinese Restaurant/Banana Leaf,65 Cambridge Street,Glasgow,G3 6QX,-4.260107,55.866359,,,,,
Carluccio's,7 West Nile Street,Glasgow,G1 2PR,-4.256056,55.860717,,,,,
Caroline's Catering,1500 Edinburgh Road,Glasgow,G33 4UF,-4.127546,55.857003,,,,,
Caseys Cafe,107 Elderpark Street,Glasgow,G51 3NR,-4.321496,55.859365,,,,,
CCA (Saramago Cafe),350 Sauchiehall Street,Glasgow,G2 3JD,-4.26621,55.86604,,,,,
Central Cafe,27 Saltmarket,Glasgow,G1 5NA,-4.243968,55.856166,,,,,
Chaophraya,4 Nelson Mandela Place,Glasgow,G2 1BT,-4.254092,55.862407,,,,,
Chapter House,26 Bothwell Street,Glasgow,G2 6NU,-4.259723,55.861396,,,,,
Charcoals,26 Renfield Street,Glasgow,G2 1LU,-4.256155,55.861875,,,,,
Charcoals,74 Trongate,Glasgow,G1 5EP,-4.245757,55.857275,,,,,
Charlie Rocks American Diner,337 Byres Road,Glasgow,G12 8UQ,-4.292599,55.876641,,,,,
Cheeky Charlie's,12 Gorstan Street,Glasgow,G23 5QG,-4.289668,55.899902,,,,,
Cherry And Heather Fine Food,7 North Gower Street,Glasgow,G51 1PW,-4.297263,55.851129,,,,,
Chill N Grill,966 Argyle Street,Glasgow,G3 8LU,-4.280265,55.863686,,,,,
Chilli Express,1196 Maryhill Road,Glasgow,G20 9BA,-4.284475,55.886939,,,,,
Chilli Grill,515 Sauchiehall Street,Glasgow,G3 7DL,-4.272258,55.866153,,,,,
Chillies West End,180 Woodlands Road,Glasgow,G3 6LL,-4.275699,55.870331,,,,,
China Blue,98 Renfield Street,Glasgow,G2 1NH,-4.255481,55.864026,,,,,
China Buffet King,53 Bath Street,Glasgow,G2 2DJ,-4.259844,55.861438,,,,,
China Buffet King,24 West Nile Street,Glasgow,G1 2PF,-4.255004,55.861051,,,,,
China Buffet King,345 Sauchiehall Street,Glasgow,G2 3HW,-4.265169,55.865457,,,,,
China Chef,529 Carntyne Road,Glasgow,G32 6JL,-4.1914,55.859891,,,,,
China House Restaurant,1286 Shettleston Road,Glasgow,G32 7YR,-4.164208,55.851367,,,,,
China Sea Restaurant,12 Renfield Street,Glasgow,G2 5AL,-4.256444,55.860791,,,,,
China Wok,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,,,,,
Chinatown Restaurant,44 New City Road,Glasgow,G4 9JT,-4.261172,55.869008,,,,,
Chinwag's Cafe,981 Tollcross Road,Glasgow,G32 8UU,-4.173803,55.844098,,,,,
Chippy Doon The Lane,23 Royal Exchange Square,Glasgow,G1 3AJ,-4.252971,55.859875,,,,,
Chiquito,40 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982,,,,,
Chiquito,4 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,,,,,
Chocolatte,536 Great Western Road,Glasgow,G12 8EL,-4.282872,55.875977,,,,,
Chop House Brasserie,79 Albion Street,Glasgow,G1 1LH,-4.244412,55.857775,,,,,
Chopstix,184 Argyle Street,Glasgow,G2 8HA,-4.258211,55.859302,,,,,
Chows Restaurant Ltd,98 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085,,,,,
Christine's Cafe,271 Cumbernauld Road,Glasgow,G31 2UG,-4.20924,55.862528,,,,,
Chukoku China China,298 Sauchiehall Street,Glasgow,G2 3JA,-4.263684,55.865763,,,,,
Citation Taverine And Restaurant,40 Wilson Street,Glasgow,G1 1HD,-4.248389,55.858853,,,,,
Classy Snax,42 Dalsetter Avenue,Glasgow,G15 8TE,-4.368116,55.906174,,,,,
Clean Plates,10 Gairbraid Avenue,Glasgow,G20 8YA,-4.290442,55.890504,,,,,
Club Bombay,121 Main Street,Glasgow,G69 6AA,-4.109384,55.850899,,,,,
Club Tropicana,26 Cambridge Street,Glasgow,G2 3DZ,-4.259784,55.865484,,,,,
Coia's,473 Duke Street,Glasgow,G31 1RD,-4.219946,55.858588,,,,,
Comforter In The City,50 Dundas Street,Glasgow,G1 2AQ,-4.251713,55.862999,,,,,
Congratulations,1027 Shettleston Road,Glasgow,G32 7PB,-4.169989,55.851912,,,,,
Cookie Cafe,75 Lauderdale Gardens,Glasgow,G12 9QU,-4.308532,55.87788,,,,,
Cookie Scotland,72 Nithsdale Road,Glasgow,G41 2AN,-4.271241,55.836953,,,,,
Coronation Restaurant,55 Gallowgate,Glasgow,G1 5AP,-4.241699,55.85645,,,,,
Cossachok Russian Cafe Gallery,10 King Street,Glasgow,G1 5QP,-4.246851,55.85685,,,,,
Courtyard Cafe (Resource Centre),192 Southbrae Drive,Glasgow,G13 1TX,-4.346984,55.884514,,,,,
Crabshakk,1114 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,,,,,
